Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
1000000,1.3747499,78.8688524590164,4.241039,0.023434617,7.351929449644245,7.351929449644245,0.035767770171944116,0.5862726,0.12588686,0.00024037425,0.18012476,0.0040082242,0.02202081,0.3788486,1.0
1010000,1.3740203,92.62962962962963,4.3342414,0.021057209,8.14387462426115,8.14387462426115,0.03736235783004237,0.30235815,0.08881043,0.00023965024,0.1798834,0.003996182,0.020846946,0.3768644,1.0
1020000,1.3734071,88.21238938053098,4.2903905,-0.0004462075,8.267189647244141,8.267189647244141,0.03921828378379279,0.4542562,0.10700551,0.00023917643,0.17972544,0.0039883,0.01973948,0.3688468,1.0
1030000,1.3728552,87.4766355140187,4.4843154,-0.00075129414,8.162936057519476,8.162936057519476,0.03848171369984336,0.41117758,0.09491645,0.000238475,0.17949165,0.0039766324,0.021810647,0.37821525,1.0
1040000,1.3723906,91.70642201834862,4.632999,0.015238546,8.675715153370428,8.675715153370428,0.036206788353519426,0.32235909,0.096053325,0.00023776594,0.17925528,0.0039648404,0.020745698,0.3731839,1.0
1050000,1.3719946,82.70247933884298,4.659483,0.021889703,8.413178616859874,8.413178616859874,0.03294912652307205,0.36326087,0.076102145,0.00023730383,0.17910126,0.0039571533,0.01894943,0.3715538,1.0
1060000,1.3713394,84.02521008403362,4.6996727,0.02661648,8.85829303830357,8.85829303830357,0.03539014714809482,0.40041932,0.11944031,0.00023684505,0.17894833,0.003949522,0.01908533,0.37626088,1.0
1070000,1.3705657,79.6639344262295,4.7197328,0.012400165,8.265124543768462,8.265124543768462,0.033696842608881776,0.4235482,0.09234737,0.00023615327,0.17871773,0.0039380156,0.021271868,0.3686664,1.0
1080000,1.3696355,93.60952380952381,4.807739,0.007947213,9.186516661871048,9.186516661871048,0.03637758023465895,0.32371596,0.06404193,0.00023542224,0.17847404,0.0039258557,0.017977962,0.35896197,1.0
1090000,1.3688726,83.52991452991454,4.8155017,0.009669477,8.536344667612497,8.536344667612497,0.03410102909636068,0.34615153,0.1315845,0.0002349715,0.1783238,0.003918358,0.0218026,0.37611067,1.0
1100000,1.3676398,78.76,4.675894,-0.006391965,8.886568834704738,8.886568834704738,0.03654484383972181,0.33139586,0.08829114,0.00023426139,0.17808712,0.003906547,0.021162007,0.36545318,1.0
1110000,1.365812,82.86065573770492,4.849531,-0.013450675,8.385527544334286,8.385527544334286,0.032664345848835916,0.52422816,0.12412004,0.00023357855,0.17785953,0.0038951898,0.018910134,0.36385244,1.0
1120000,1.3649166,76.29457364341086,5.036528,-0.024547132,8.53508269420037,8.53508269420037,0.02924594529188023,0.40074286,0.10418783,0.00023312397,0.17770794,0.003887627,0.01990689,0.3640627,1.0
1130000,1.3642147,96.3921568627451,5.214607,-0.026993474,9.555319528768559,9.555319528768559,0.03277981487831267,0.20984392,0.11543878,0.00023265816,0.17755271,0.0038798815,0.018102875,0.35991123,1.0
1140000,1.3636334,86.28318584070796,5.10812,-0.022288147,9.201425642297979,9.201425642297979,0.03527999045572391,0.2746191,0.10891874,0.00023193588,0.17731196,0.003867865,0.018720377,0.35933,1.0
1150000,1.3631425,75.44029850746269,5.225541,-0.019328661,8.881709174105996,8.881709174105996,0.03069233483568366,0.46919155,0.09927583,0.00023124342,0.17708112,0.003856347,0.020404411,0.35881287,1.0
1160000,1.3623818,89.25892857142857,5.37936,-0.016966265,9.12067186832428,9.12067186832428,0.03418635368247384,0.28978664,0.12854499,0.00023075262,0.17691754,0.0038481841,0.01941055,0.35830253,1.0
1170000,1.3617731,86.66666666666667,5.4860506,-0.012655198,9.461071795650891,9.461071795650891,0.030274355405708775,0.23593572,0.08395974,0.00023026584,0.17675526,0.0038400886,0.017586563,0.35380572,1.0
1180000,1.361211,86.66379310344827,5.4191823,-0.0054195356,9.059903333498085,9.059903333498085,0.03016194885029741,0.37511837,0.074935585,0.00022955552,0.17651847,0.0038282725,0.01760799,0.35378987,1.0
1190000,1.3608972,77.56557377049181,5.3332443,-0.0070470716,8.915625743201522,8.915625743201522,0.029862818698929317,0.21893689,0.08035584,0.00022884781,0.17628261,0.0038165005,0.01745514,0.35463226,1.0
1200000,1.3603644,91.95535714285714,5.369217,-0.0114466455,9.390722979392324,9.390722979392324,0.032285188855894376,0.3182798,0.13267654,0.00022836446,0.17612147,0.003808461,0.017398322,0.3569042,1.0
1210000,1.3599768,66.16326530612245,5.273304,-0.0142004,8.316761011980018,8.316761011980018,0.026721280489471696,0.34059954,0.09949122,0.00022768122,0.17589374,0.003797096,0.019119952,0.35768902,1.0
1220000,1.3587555,76.31297709923665,5.2757807,-0.014221172,9.028679520119237,9.028679520119237,0.027761246585144967,0.36054555,0.06619309,0.0002269854,0.17566179,0.0037855217,0.017778302,0.3525956,1.0
1230000,1.3576226,72.74074074074075,5.34391,-0.019750543,8.597652109230266,8.597652109230266,0.025283581241691375,0.39171842,0.11829872,0.00022653838,0.17551279,0.0037780881,0.017572913,0.34927654,1.0
1240000,1.3563849,73.55147058823529,5.31818,-0.024711905,8.870013217131296,8.870013217131296,0.029110044795433405,0.44124037,0.089694515,0.0002258604,0.17528681,0.0037668105,0.018649973,0.3462112,1.0
1250000,1.3553001,83.32773109243698,5.445212,-0.002088468,9.259351606128597,9.259351606128597,0.027852066788634583,0.23540398,0.078720264,0.00022515068,0.17505023,0.0037550041,0.016842892,0.34341887,1.0
1260000,1.3544579,81.0,5.395632,0.0031724388,8.891568069827967,8.891568069827967,0.030442224597710923,0.23935722,0.10124607,0.00022467034,0.17489006,0.0037470155,0.018300254,0.33957213,1.0
1270000,1.353652,82.21311475409836,5.4673357,0.003674631,9.130064207906566,9.130064207906566,0.02637753166327607,0.50039554,0.11080185,0.0002242019,0.1747339,0.0037392231,0.017270233,0.3410633,1.0
1280000,1.3537074,74.25,5.436254,-0.010275067,8.928946770020644,8.928946770020644,0.027793533447450097,0.28729203,0.104211,0.0002235075,0.17450249,0.003727674,0.017172638,0.34219715,1.0
